continent,location,lat,long,total_cases,total_deaths,case_fatality_rate,total_tests,positive_rate,hospital_beds_per_thousand,num_physicians_per_thousand,handwashing_facilities,gdp_per_capita,current_health_exp_%gdp,govt_health_exp_%totalgovtexp,population,population_density,0_to_14(%),15_to_64(%),65_and_above(%),extreme_poverty,human_development_index,annual_intl_arrivals_thousands,total_cases_log,total_deaths_log,total_tests_log,gdp_per_capita_log,population_log,population_density_log,annual_intl_arrivals_thou_log
Asia,Afghanistan,33.93911000000001,67.70995300000001,56290,2469,0.04386214247646118,2251884,0.186,0.5,2.7800000000000002,37.746,1803.987,11.777199999999999,2.3190999999999997,38928341,54.422000000000004,42.47227139,54.91193439999999,2.615794214,6.4,0.511,1035,10.938272178458073,7.81156848934518,14.62727775714595,7.497754494388179,17.477233103728686,3.9967684838742055,6.942156705699469
Europe,Albania,41.1533,20.1683,123641,2204,0.01782580212065577,517102,0.17300000000000001,2.8899999999999997,12.16,86.979,11803.431,8.095600000000001,14.678899999999999,2877800,104.871,17.399564100000003,68.39780528000001,14.20263062,1.1,0.7949999999999999,5340,11.725137484210757,7.698029170272805,13.155995426100677,9.376145530902335,14.872536671311455,4.652731023416374,8.582980931954241
Africa,Algeria,28.033900000000003,1.6596,116750,3077,0.026355460385438973,979476,0.093,1.9,17.19,83.74100000000001,13913.839,6.3743,10.734099999999998,43851043,17.348,30.550378610000003,62.89684351,6.552777882,0.5,0.748,2657,11.667790175531144,8.031710375322042,13.794773013769456,9.540639235337153,17.59630906213243,2.8534772259731196,7.884952945759814
Europe,Andorra,42.5063,1.5217999999999998,11809,115,0.009738335168092133,162071,0.094,4.51,33.33,86.979,31400.84,10.3206,14.0176,77265,163.755,15.13545128,64.70613601,20.15841271,0.5,0.8680000000000001,3042,9.376617231601282,4.74493212836325,11.995789789806512,10.354589923130884,11.254996350667795,5.098371408400342,8.020270472819238
Africa,Angola,-11.2027,17.873900000000003,22031,533,0.02419318233398393,979476,0.043000000000000003,1.1,2.15,26.664,5819.495,2.7915,5.4284,32866268,23.89,46.62202503000001,51.17863322000001,2.1993417500000003,23.8,0.581,218,10.000205831412565,6.278521424165844,13.794773013769456,8.66896876720132,17.30795740101374,3.173459961337718,5.384495062789089
North America,Anguilla,18.220599999999997,-63.068600000000004,2254,56,0.012422360248447204,186726,0.04,2.397,33.33,85.198,13593.876999999999,6.1364,8.9967,15002,281.787,23.5312194,66.71857852,9.677419355000001,2.2,0.759,395,7.720461694599722,4.02535169073515,12.1373975806802,9.51737474975619,9.615938804529582,5.641151466391949,5.978885764901122
North America,Antigua and Barbuda,17.0608,-61.796400000000006,1122,28,0.024955436720142603,649297,0.089,3.8,29.56,87.202,21490.943000000003,4.5335,9.4786,97928,231.845,21.95473548,68.99030046000001,9.054964064,2.2,0.778,269,7.022868086082641,3.332204510175204,13.383645518125515,9.975386869548645,11.491987793755348,5.44606904493747,5.594711379601839
South America,Argentina,-38.4161,-63.6167,2301389,55368,0.024058514227712047,7106703,0.21800000000000003,5,39.9,67.779,18933.907000000003,9.124299999999998,16.0513,45195777,16.177000000000003,24.595525879999997,64.16136585,11.243108269999999,0.6,0.8450000000000001,6942,14.649023411660758,10.9217570885217,15.776548981151096,9.848709614877894,17.62651421123414,2.783590480347557,8.845345196421732
Asia,Armenia,40.069100000000006,45.0382,189540,3450,0.01820196264640709,822634,0.186,4.2,44.02,94.043,8787.58,10.362700000000002,5.2735,2963234,102.93100000000001,20.76595201,67.75038027,11.48366772,1.8,0.776,1652,12.152355363024187,8.146129510025405,13.62026666628511,9.081094639918163,14.901791797450244,4.634058860831797,7.409741954080923
Oceania,Australia,-25,133,29259,909,0.031067363888034452,15334583,0,3.84,36.78,82.502,44648.71,9.2059,17.7973,25499881,3.202,19.275446709999997,64.80335154,15.921201749999998,0.5,0.9440000000000001,9246,10.283942497640124,6.812345094177479,16.545621162464315,10.706580694509901,17.054184343451098,1.1637756145745228,9.13194630454817
