"International inbound tourists (thousands)"
"Dimension: Mobility and communication"
"SDG 8.9 By 2030, devise and implement policies to promote sustainable tourism that creates jobs and promotes local culture and products"
"Definition: Arrivals of nonresident visitors (overnight visitors, tourists, sameday visitors and excursionists) at national borders."
"Source: World Bank (2020a). World Development Indicators database. Washington, DC. http://data.worldbank.org. Accessed 22 July 2020."
""
"HDI Rank","Country","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2011-2018",""
"69"," Albania","..","","..","","..","","2191","","2469","","3156","","2857","","3341","","3784","","4070","","4643","","5340","","5340","a"
"91"," Algeria","520","","866","","1443","","2070","","2395","","2634","","2733","","2301","","1710","","2039","","2451","","2657","","2657","a"
"36"," Andorra","..","","2949","","2418","","1808","","2242","","2238","","2328","","2363","","2663","","2819","","3003","","3042","","3042","a"
"148"," Angola","9","","51","","210","","425","","481","","528","","650","","595","","592","","397","","261","","218","","218","a"
"78"," Antigua and Barbuda","220","","207","","245","","230","","241","","247","","243","","249","","250","","265","","247","","269","","269","a"
"46"," Argentina","2289","","2909","","3823","","6800","","6703","","6497","","6510","","7165","","6816","","6668","","6711","","6942","","6942","a"
"81"," Armenia","12","","45","","319","","684","","758","","963","","1084","","1204","","1192","","1260","","1495","","1652","","1652","a"
"8"," Australia","3726","","4931","","5499","","5790","","5771","","6032","","6482","","6922","","7449","","8269","","8815","","9246","","9246","a"
"18"," Austria","17173","","17982","","19952","","22004","","23012","","24151","","24813","","25291","","26728","","28121","","29460","","30816","","30816","a"
"88"," Azerbaijan","..","","..","","693","","1280","","1562","","1986","","2130","","2160","","1922","","2044","","2454","","2633","","2633","a"
"58"," Bahamas","1598","","1544","","1608","","1370","","1346","","1422","","1366","","1446","","1502","","1500","","1442","","1633","","1633","a"
"42"," Bahrain","2311","","3869","","6313","","11952","","6732","","8062","","9163","","10452","","9670","","10158","","11374","","12045","","12045","a"
"133"," Bangladesh","156","","199","","208","","303","","155","","125","","148","","125","","643","","830","","1026","","..","","1026","a"
"58"," Barbados","442","","545","","548","","532","","568","","536","","509","","521","","592","","632","","664","","680","","680","a"
"53"," Belarus","161","","60","","91","","119","","116","","6130","","6242","","5375","","4386","","10935","","11060","","11502","","11502","a"
"14"," Belgium","5560","","6457","","6747","","7186","","7494","","7560","","7684","","7887","","8355","","7481","","8385","","9119","","9119","a"
"110"," Belize","131","","196","","237","","242","","250","","277","","294","","321","","341","","386","","427","","489","","489","a"
"158"," Benin","138","","96","","176","","199","","209","","220","","231","","242","","255","","267","","281","","295","","295","a"
"129"," Bhutan","5","","8","","14","","41","","66","","105","","116","","133","","155","","210","","255","","274","","274","a"
"107"," Bolivia (Plurinational State of)","284","","319","","524","","679","","711","","798","","798","","871","","882","","961","","1109","","1142","","1142","a"
"73"," Bosnia and Herzegovina","..","","171","","217","","365","","392","","439","","529","","536","","678","","778","","923","","1053","","1053","a"
"100"," Botswana","521","","1104","","1474","","1973","","..","","1614","","1544","","1966","","1528","","1574","","1623","","..","","1623","a"
"84"," Brazil","1991","","5313","","5358","","5161","","5433","","5677","","5813","","6430","","6306","","6547","","6589","","6621","","6621","a"
"47"," Brunei Darussalam","..","","..","","126","","214","","242","","209","","225","","201","","218","","219","","259","","278","","278","a"
"56"," Bulgaria","3466","","2785","","4837","","6047","","6328","","6541","","6898","","7311","","7099","","8252","","8883","","9273","","9273","a"
"182"," Burkina Faso","124","","126","","245","","274","","238","","237","","218","","191","","163","","152","","143","","144","","144","a"
"185"," Burundi","34","","29","","148","","142","","144","","147","","234","","235","","131","","187","","299","","..","","299","a"
"126"," Cabo Verde","28","","115","","198","","336","","428","","482","","503","","494","","520","","598","","668","","710","","710","a"
"144"," Cambodia","220","","466","","1422","","2508","","2882","","3584","","4210","","4503","","4775","","5012","","5602","","6201","","6201","a"
"153"," Cameroon","..","","..","","..","","573","","604","","817","","783","","822","","897","","994","","1081","","..","","1081","a"
"16"," Canada","16932","","19627","","18771","","16219","","16014","","16344","","16059","","16537","","17971","","19971","","20883","","21134","","21134","a"
"188"," Central African Republic","26","","11","","12","","54","","65","","71","","84","","96","","121","","82","","107","","..","","107","a"
"187"," Chad","..","","..","","..","","71","","77","","86","","97","","119","","120","","98","","87","","..","","87","a"
"43"," Chile","1540","","1742","","2027","","2801","","3137","","3554","","3576","","3674","","4478","","5641","","6450","","5723","","5723","a"
"85"," China","20034","","31229","","46809","","55664","","57581","","57725","","55686","","55622","","56886","","59270","","60740","","62900","","62900","a"
"83"," Colombia","1399","","557","","933","","1405","","2042","","2179","","2288","","2552","","2980","","3254","","3631","","3904","","3904","a"
"156"," Comoros","23","","24","","26","","15","","19","","23","","22","","23","","24","","27","","28","","36","","36","a"
"149"," Congo","..","","..","","35","","194","","218","","256","","343","","226","","220","","211","","149","","156","","156","a"
"175"," Congo (Democratic Republic of the)","35","","103","","61","","81","","186","","167","","191","","334","","354","","351","","..","","..","","351","a"
"62"," Costa Rica","785","","1088","","1679","","2100","","2192","","2343","","2428","","2527","","2660","","2925","","2960","","3017","","3017","a"
"43"," Croatia","1485","","5831","","7743","","9111","","9927","","10369","","10948","","11623","","12683","","13809","","15593","","16645","","16645","a"
"70"," Cuba","742","","1741","","2261","","2507","","2688","","2823","","2839","","2981","","3506","","3975","","4594","","4684","","4684","a"
"33"," Cyprus","2100","","2686","","2470","","2173","","2392","","2465","","2405","","2441","","2659","","3187","","3652","","3939","","3939","a"
"27"," Czechia","3381","","4773","","6336","","6334","","6715","","7647","","7852","","8096","","8707","","9321","","10160","","10611","","10611","a"
"162"," Côte d'Ivoire","..","","..","","..","","252","","270","","289","","380","","471","","1441","","1583","","1800","","1965","","1965","a"
"10"," Denmark","..","","3535","","9587","","9425","","8471","","8443","","8557","","10267","","10424","","10781","","12426","","12749","","12749","a"
"166"," Djibouti","21","","20","","30","","51","","56","","60","","63","","..","","..","","..","","..","","..","","63","a"
"94"," Dominica","60","","70","","79","","77","","76","","79","","78","","82","","75","","78","","72","","63","","63","a"
"88"," Dominican Republic","1776","","2978","","3691","","4125","","4306","","4563","","4690","","5141","","5600","","5959","","6188","","6569","","6569","a"
"86"," Ecuador","440","","627","","860","","1047","","1141","","1272","","1364","","1695","","1676","","1569","","1806","","2535","","2535","a"
"116"," Egypt","2871","","5116","","8244","","14051","","9497","","11196","","9174","","9628","","9139","","5258","","8157","","11196","","11196","a"
"124"," El Salvador","235","","795","","1127","","1150","","1184","","1255","","1283","","1345","","1402","","1434","","1556","","1677","","1677","a"
"180"," Eritrea","315","","70","","83","","84","","107","","129","","141","","119","","114","","142","","..","","..","","142","a"
"29"," Estonia","530","","1220","","1917","","2511","","2823","","2957","","3111","","3160","","2961","","3131","","3244","","3234","","3234","a"
"138"," Eswatini (Kingdom of)","300","","281","","837","","868","","879","","888","","968","","939","","873","","947","","921","","782","","782","a"
"173"," Ethiopia","103","","136","","227","","468","","523","","597","","681","","770","","864","","871","","933","","849","","849","a"
"93"," Fiji","318","","294","","545","","632","","675","","661","","659","","693","","755","","792","","843","","870","","870","a"
"11"," Finland","1779","","1971","","2080","","2319","","2623","","2778","","2797","","2731","","2622","","2789","","3180","","3224","","3224","a"
"26"," France","60033","","77190","","74988","","76647","","80499","","81980","","83634","","83701","","84452","","82682","","86758","","89322","","89322","a"
"119"," Gabon","125","","155","","269","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"172"," Gambia","45","","79","","108","","91","","106","","157","","171","","156","","449","","450","","522","","552","","552","a"
"61"," Georgia","..","","..","","..","","1067","","1833","","2460","","2884","","2939","","3012","","3297","","4069","","4757","","4757","a"
"6"," Germany","14847","","18983","","21500","","26875","","28374","","30411","","31545","","32999","","34970","","35555","","37452","","38881","","38881","a"
"138"," Ghana","286","","399","","429","","931","","821","","903","","994","","825","","897","","..","","..","","..","","897","a"
"32"," Greece","10130","","13096","","14765","","15007","","16427","","15518","","17920","","22033","","23599","","24799","","27194","","30123","","30123","a"
"74"," Grenada","108","","129","","99","","110","","118","","125","","128","","150","","155","","156","","168","","185","","185","a"
"127"," Guatemala","..","","..","","..","","1119","","1160","","1200","","1224","","1371","","1473","","1585","","1660","","1781","","1781","a"
"178"," Guinea","..","","33","","45","","12","","131","","96","","56","","33","","35","","63","","99","","..","","99","a"
"175"," Guinea-Bissau","..","","..","","5","","22","","37","","35","","36","","36","","44","","45","","..","","..","","45","a"
"122"," Guyana","106","","105","","117","","152","","157","","177","","200","","206","","207","","235","","247","","287","","287","a"
"170"," Haiti","145","","140","","112","","255","","349","","349","","420","","465","","516","","445","","467","","447","","447","a"
"132"," Honduras","271","","471","","673","","863","","871","","895","","863","","868","","880","","838","","851","","..","","851","a"
"4"," Hong Kong, China (SAR)","..","","8814","","14773","","20085","","22316","","23770","","25661","","27770","","26686","","26553","","27884","","29263","","29263","a"
"40"," Hungary","..","","..","","9979","","9510","","10250","","10353","","10624","","12140","","14316","","15255","","15785","","17552","","17552","a"
"4"," Iceland","190","","303","","374","","489","","566","","673","","807","","997","","1289","","1792","","2225","","2344","","2344","a"
"131"," India","2124","","2649","","3919","","5776","","6309","","6578","","6968","","13107","","13284","","14570","","15543","","17423","","17423","a"
"107"," Indonesia","4324","","5064","","5002","","7003","","7650","","8044","","8802","","9435","","10407","","11519","","14040","","15810","","15810","a"
"70"," Iran (Islamic Republic of)","568","","..","","..","","2938","","3354","","3834","","4769","","4968","","5237","","4942","","4867","","7295","","7295","a"
"123"," Iraq","61","","78","","..","","1518","","1510","","1111","","892","","..","","..","","..","","..","","..","","892","a"
"2"," Ireland","4818","","6646","","7333","","7134","","7630","","7550","","8260","","8813","","9528","","10100","","10338","","10926","","10926","a"
"19"," Israel","2215","","2417","","1903","","2803","","2820","","2886","","2962","","2927","","2799","","2900","","3613","","4121","","4121","a"
"29"," Italy","31052","","41181","","36513","","43626","","46119","","46360","","47704","","48576","","50732","","52372","","58253","","61567","","61567","a"
"101"," Jamaica","1147","","1323","","1479","","1922","","1952","","1986","","2008","","2080","","2123","","2182","","2353","","2473","","2473","a"
"19"," Japan","3345","","4757","","6728","","8611","","6219","","8358","","10364","","13413","","19737","","24040","","28691","","31192","","31192","a"
"102"," Jordan","1075","","1580","","2987","","4207","","3960","","4162","","3945","","3990","","3761","","3567","","3844","","4150","","4150","a"
"51"," Kazakhstan","..","","1683","","4365","","4097","","5685","","6163","","6841","","6333","","6430","","6509","","7701","","8789","","8789","a"
"143"," Kenya","918","","899","","1399","","1470","","1750","","1619","","1434","","1261","","1114","","1268","","1364","","..","","1364","a"
"134"," Kiribati","4","","5","","4","","5","","5","","5","","6","","5","","4","","6","","6","","7","","7","a"
"23"," Korea (Republic of)","3753","","5322","","6023","","8798","","9795","","11140","","12176","","14202","","13232","","17242","","13336","","15347","","15347","a"
"64"," Kuwait","1443","","1944","","3474","","5208","","5574","","5729","","6217","","6528","","6941","","7055","","7407","","8508","","8508","a"
"120"," Kyrgyzstan","36","","59","","..","","259","","337","","348","","415","","413","","402","","321","","421","","423","","423","a"
"137"," Lao People's Democratic Republic","60","","191","","672","","1670","","1894","","2291","","2700","","3164","","3543","","3315","","3257","","3770","","3770","a"
"37"," Latvia","539","","509","","1116","","1373","","1493","","1435","","1536","","1843","","2024","","1793","","1949","","1946","","1946","a"
"92"," Lebanon","450","","742","","1140","","2168","","1655","","1366","","1274","","1355","","1518","","1688","","1857","","1964","","1964","a"
"165"," Lesotho","209","","302","","304","","426","","398","","423","","433","","1079","","1082","","1196","","1137","","1173","","1173","a"
"105"," Libya","56","","174","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"19"," Liechtenstein","..","","..","","..","","64","","67","","62","","60","","61","","57","","69","","79","","85","","85","a"
"34"," Lithuania","650","","1083","","2000","","1507","","1775","","1900","","2012","","2063","","2071","","2296","","2523","","2825","","2825","a"
"23"," Luxembourg","768","","852","","913","","805","","874","","950","","945","","1038","","1090","","1054","","1046","","1018","","1018","a"
"164"," Madagascar","75","","160","","277","","196","","225","","256","","196","","222","","244","","293","","255","","291","","291","a"
"174"," Malawi","192","","228","","438","","746","","767","","770","","795","","819","","805","","849","","837","","871","","871","a"
"62"," Malaysia","7469","","10222","","16431","","24577","","24714","","25033","","25715","","27437","","25721","","26757","","25948","","25832","","25832","a"
"95"," Maldives","315","","467","","395","","792","","931","","958","","1125","","1205","","1234","","1286","","1390","","1484","","1484","a"
"184"," Mali","42","","86","","143","","..","","..","","32","","57","","53","","15","","42","","11","","14","","14","a"
"28"," Malta","1116","","1216","","1171","","1339","","1415","","1443","","1582","","1690","","1783","","1966","","2274","","2599","","2599","a"
"117"," Marshall Islands","6","","5","","9","","5","","5","","5","","..","","5","","6","","5","","6","","7","","7","a"
