"","continent","location","lat","long","total_cases","total_deaths","case_fatality_rate","total_tests","positive_rate","hospital_beds_per_thousand","num_physicians_per_thousand","handwashing_facilities","gdp_per_capita","current_health_exp","govt_health_exp","population","population_density","pop_young","pop_working","pop_old","extreme_poverty","human_development_index","annual_intl_arrivals_thousands","total_cases_log","total_deaths_log","total_tests_log","gdp_per_capita_log","population_log","population_density_log","annual_intl_arrivals_thou_log","deaths_per_test","deaths_per_population"
"1","Asia","Afghanistan",33.93911,67.709953,56290,2469,0.0438621424764612,2251884,0.186,0.5,2.78,37.746,1803.987,11.7772,2.3191,38928341,54.422,42.47227139,54.9119344,2.615794214,6.4,0.511,1035,10.9382721784581,7.81156848934518,14.627277757146,7.49775449438818,17.4772331037287,3.99676848387421,6.94215670569947,0.00109641526828203,6.34242286358928e-05
"2","Europe","Albania",41.1533,20.1683,123641,2204,0.0178258021206558,517102,0.173,2.89,12.16,86.979,11803.431,8.0956,14.6789,2877800,104.871,17.3995641,68.39780528,14.20263062,1.1,0.795,5340,11.7251374842108,7.6980291702728,13.1559954261007,9.37614553090233,14.8725366713115,4.65273102341637,8.58298093195424,0.00426221519158696,0.000765862811870179
"3","Africa","Algeria",28.0339,1.6596,116750,3077,0.026355460385439,979476,0.093,1.9,17.19,83.741,13913.839,6.3743,10.7341,43851043,17.348,30.55037861,62.89684351,6.552777882,0.5,0.748,2657,11.6677901755311,8.03171037532204,13.7947730137695,9.54063923533715,17.5963090621324,2.85347722597312,7.88495294575981,0.00314147564616183,7.016936860544e-05
"4","Europe","Andorra",42.5063,1.5218,11809,115,0.00973833516809213,162071,0.094,4.51,33.33,86.979,31400.84,10.3206,14.0176,77265,163.755,15.13545128,64.70613601,20.15841271,0.5,0.868,3042,9.37661723160128,4.74493212836325,11.9957897898065,10.3545899231309,11.2549963506678,5.09837140840034,8.02027047281924,0.000709565560772748,0.0014883841325309
"5","Africa","Angola",-11.2027,17.8739,22031,533,0.0241931823339839,979476,0.043,1.1,2.15,26.664,5819.495,2.7915,5.4284,32866268,23.89,46.62202503,51.17863322,2.19934175,23.8,0.581,218,10.0002058314126,6.27852142416584,13.7947730137695,8.66896876720132,17.3079574010137,3.17345996133772,5.38449506278909,0.000544168514593517,1.62172352516568e-05
"6","North America","Anguilla",18.2206,-63.0686,2254,56,0.0124223602484472,186726,0.04,2.397,33.33,85.198,13593.877,6.1364,8.9967,15002,281.787,23.5312194,66.71857852,9.677419355,2.2,0.759,395,7.72046169459972,4.02535169073515,12.1373975806802,9.51737474975619,9.61593880452958,5.64115146639195,5.97888576490112,0.000299904673157461,0.00373283562191708
"7","North America","Antigua and Barbuda",17.0608,-61.7964,1122,28,0.0249554367201426,649297,0.089,3.8,29.56,87.202,21490.943,4.5335,9.4786,97928,231.845,21.95473548,68.99030046,9.054964064,2.2,0.778,269,7.02286808608264,3.3322045101752,13.3836455181255,9.97538686954864,11.4919877937553,5.44606904493747,5.59471137960184,4.31235628687642e-05,0.000285924352585573
"8","South America","Argentina",-38.4161,-63.6167,2301389,55368,0.024058514227712,7106703,0.218,5,39.9,67.779,18933.907,9.1243,16.0513,45195777,16.177,24.59552588,64.16136585,11.24310827,0.6,0.845,6942,14.6490234116608,10.9217570885217,15.7765489811511,9.84870961487789,17.6265142112341,2.78359048034756,8.84534519642173,0.00779095453967895,0.00122507020954635
"9","Asia","Armenia",40.0691,45.0382,189540,3450,0.0182019626464071,822634,0.186,4.2,44.02,94.043,8787.58,10.3627,5.2735,2963234,102.931,20.76595201,67.75038027,11.48366772,1.8,0.776,1652,12.1523553630242,8.14612951002541,13.6202666662851,9.08109463991816,14.9017917974502,4.6340588608318,7.40974195408092,0.00419384562271922,0.0011642684985391
"10","Oceania","Australia",-25,133,29259,909,0.0310673638880345,15334583,0,3.84,36.78,82.502,44648.71,9.2059,17.7973,25499881,3.202,19.27544671,64.80335154,15.92120175,0.5,0.944,9246,10.2839424976401,6.81234509417748,16.5456211624643,10.7065806945099,17.0541843434511,1.16377561457452,9.13194630454817,5.92777775567813e-05,3.56472251772469e-05
"11","Europe","Austria",47.5162,14.5501,533786,9231,0.0172934471867003,21147134,0.038,7.37,51.7,97.164,45436.686,10.3966,15.3054,9006400,106.749,14.36185763,66.56253608,19.07560629,0.7,0.922,30816,13.1877502885573,9.13032266399015,16.8670149460003,10.7240751193974,16.0134459936919,4.67048028438336,10.3357893145979,0.000436513051839554,0.00102493782199325
"12","Asia","Azerbaijan",40.1431,47.5769,254370,3464,0.0136179580925424,3112999,0.03,4.7,34.46,83.241,15847.419,6.6518,2.8143,10139175,119.309,23.44191985,70.11169103,6.44638912,0.7,0.756,2633,12.4465451789662,8.15017926968233,14.9510971281902,9.67076192692898,16.1319171918706,4.78171676632547,7.87587915949631,0.0011127533288639,0.000341645153575118
"13","North America","Bahamas",25.025885,-78.035889,8935,188,0.0210408505875769,1284835,0.054,2.9,20.07,87.202,27717.847,5.7589,11.2508,393248,39.497,21.0786358,68.62061129,9.880435323,1.6,0.814,1633,9.09773142759353,5.23644196282995,14.0661408633976,10.2298317807347,12.8821957350843,3.67622471965569,7.39817409297047,0.000146322290410831,0.000478069818536903
"14","Asia","Bahrain",26.0275,50.55,140818,513,0.00364300018463549,3483259,0.048,2,9.26,95.803,43290.705,4.7481,8.4938,1701583,1935.907,18.71869615,78.76249412,2.518809729,0.2,0.852,12045,11.8552235554442,6.24027584517077,15.0634789077664,10.6756932258197,14.3470695522212,7.56833122949262,9.39640491504897,0.000147275870097515,0.000301483971102203
"15","Asia","Bangladesh",23.685,90.3563,591806,8869,0.0149863299797569,4511802,0.118,0.8,5.81,34.808,3523.984,2.2742,2.9945,164689383,1265.036,27.21436538,67.60528327,5.180351348,14.8,0.632,1026,13.2909341574572,9.09031732937645,15.3222071882184,8.16734744675064,18.9195717304107,7.14285585925471,6.93342302573071,0.00196573342535865,5.38528946944928e-05
"16","North America","Barbados",13.1939,-59.5432,3609,41,0.0113604876697146,802126,0.09,5.8,24.84,88.469,16978.068,6.7791,9.0803,287371,664.463,17.05043115,66.71857852,16.23099033,2.2,0.814,680,8.19118600464279,3.71357206670431,13.5950209817405,9.73967767247307,12.5685293428734,6.49897919563993,6.52209279817015,5.11141641088807e-05,0.000142672712277857
"17","Europe","Belarus",53.7098,27.9534,317631,2211,0.00696090746809978,5272490,0.075,11,51.91,86.979,17167.967,5.9258,10.6191,9449321,46.858,17.03632015,67.7628385,15.20084135,1,0.823,11502,12.6686456106448,7.70120018085745,15.4780132946998,9.75080054268783,16.0614534450366,3.84712175184445,9.3502762122737,0.000419346456797452,0.000233985066228568
"18","Europe","Belgium",50.8333,4.469936,866063,22870,0.0264068549285676,10770769,0.077,5.64,30.71,97.164,42658.576,10.3387,15.3139,11589616,375.564,17.05820304,63.93523089,19.00656607,0.2,0.931,9119,13.6717129331664,10.0375812870168,16.1923464486263,10.6609836112526,16.2656200827567,5.92842889609516,9.11811542793366,0.00212333956841893,0.00197331818414001
"19","North America","Belize",17.1899,-88.4976,12415,317,0.0255336286749899,802126,0.132,1.3,11.23,90.083,7824.362,5.6428,10.991,397621,16.426,29.70439576,65.42821497,4.86738926,3.2,0.716,489,9.42666069794227,5.75890177387728,13.5950209817405,8.96499747853799,12.8932545692712,2.798865445318,6.19236248947487,0.000395199756646711,0.00079724159438259
"20","Africa","Benin",9.3077,2.3158,7100,90,0.0126760563380282,267671,0.078,0.5,0.79,11.035,2064.236,3.7186,4.5752,12123198,99.11,42.20551877,54.52959631,3.264884925,49.6,0.545,295,8.86785006302941,4.49980967033027,12.4975138934199,7.63251546115028,16.3106313651863,4.59623034441862,5.68697535633982,0.000336233659978107,7.42378372439351e-06
"21","North America","Bermuda",32.3078,-64.7505,7954,188,0.0210408505875769,2091666,0.054,2.9,26.76,87.202,50669.315,5.7589,11.2112,62273,1308.82,20.26118068,66.71857852,11.11820802,1.3,0.796,375,8.98143022576764,5.23644196282995,14.5534714355889,10.8330757795311,11.0392832239984,7.17688124690532,5.92692602597041,8.98805067348229e-05,0.00301896488044578
